|-------------------|-------|--------|---------|---------|-----------------------------|
| RN ten Doeschate  | 83    | 31.333 | 6.795   | 3       | 70.005                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| S Nadeem          | 1420  | 33.283 | 7.454   | 53      | 85                          |
|-------------------|-------|--------|---------|---------|-----------------------------|
| JJ van der Wath   | 76    | 44.667 | 10.579  | 3       | 23.335                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| Shakib Al Hasan   | 1358  | 25.394 | 7.405   | 66      | 198.3475                    |
|-------------------|-------|--------|---------|---------|-----------------------------|
| S Dhawan          | 49    | 18     | 8.816   | 4       | 140.01                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| VR Aaron          | 1032  | 33.5   | 8.57    | 44      | 200                         |
|-------------------|-------|--------|---------|---------|-----------------------------|
| JE Taylor         | 122   | 27.833 | 8.213   | 6       | 72.615                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| NL McCullum       | 30    | 0      | 7       | 0       | 46.67                       |
|-------------------|-------|--------|---------|---------|-----------------------------|
| KMDN Kulasekara   | 107   | 20.333 | 6.841   | 6       | 46.67                       |
|-------------------|-------|--------|---------|---------|-----------------------------|
| P Parameswaran    | 159   | 25.111 | 8.528   | 9       | 30                          |
|-------------------|-------|--------|---------|---------|-----------------------------|
| B Kumar           | 2795  | 22.829 | 7.155   | 146     | 221.6825                    |
|-------------------|-------|--------|---------|---------|-----------------------------|
| P Prasanth        | 6     | 0      | 18      | 0       | 10                          |
|-------------------|-------|--------|---------|---------|-----------------------------|
| S Rana            | 16    | 0      | 6.75    | 0       | 20                          |
|-------------------|-------|--------|---------|---------|-----------------------------|
| JP Faulkner       | 1276  | 25.375 | 8.591   | 72      | 108.585                     |
|-------------------|-------|--------|---------|---------|-----------------------------|
| SS Mundhe         | 7     | 6      | 5.143   | 1       | 20                          |
|-------------------|-------|--------|---------|---------|-----------------------------|
| GJ Maxwell        | 558   | 39.3   | 8.452   | 20      | 585.501                     |
|-------------------|-------|--------|---------|---------|-----------------------------|
| M de Lange        | 116   | 28.5   | 8.845   | 6       | 513.37                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| KK Cooper         | 600   | 21.917 | 7.89    | 36      | 28.575                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| DAJ Bracewell     | 25    | 10.667 | 7.68    | 3       | 28.575                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| HV Patel          | 966   | 27.6   | 8.571   | 50      | 135.343                     |
|-------------------|-------|--------|---------|---------|-----------------------------|
| Ankit Sharma      | 375   | 37.75  | 7.248   | 12      | 70.005                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| DJ Harris         | 18    | 0      | 8.667   | 0       | 151.6775                    |
|-------------------|-------|--------|---------|---------|-----------------------------|
| F du Plessis      | 6     | 0      | 16      | 0       | 56.004                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| SP Narine         | 2824  | 22.434 | 6.816   | 143     | 400.05                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| GB Hogg           | 466   | 23.4   | 7.532   | 25      | 102.87                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| P Awana           | 774   | 24.326 | 8.109   | 43      | 65                          |
|-------------------|-------|--------|---------|---------|-----------------------------|
| V Pratap Singh    | 211   | 25     | 8.531   | 12      | 40                          |
|-------------------|-------|--------|---------|---------|-----------------------------|
| CJ McKay          | 42    | 60     | 8.571   | 1       | 51.337                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| AD Russell        | 1186  | 26.015 | 8.818   | 67      | 257.175                     |
|-------------------|-------|--------|---------|---------|-----------------------------|
| Azhar Mahmood     | 552   | 22.806 | 7.685   | 31      | 114.3                       |
|-------------------|-------|--------|---------|---------|-----------------------------|
| P Negi            | 733   | 25.105 | 7.809   | 38      | 10                          |
|-------------------|-------|--------|---------|---------|-----------------------------|
| RJ Peterson       | 48    | 23.333 | 8.75    | 3       | 57.15                       |
|-------------------|-------|--------|---------|---------|-----------------------------|
| R Shukla          | 130   | 31     | 10.015  | 7       | 40                          |
|-------------------|-------|--------|---------|---------|-----------------------------|
| MJ Clarke         | 66    | 24     | 6.545   | 3       | 234.2004                    |
|-------------------|-------|--------|---------|---------|-----------------------------|
| BW Hilfenhaus     | 390   | 21.609 | 7.646   | 23      | 46.67                       |
